0	Аалст, Белгия	Почетно консулство					50.92050, 4.00568	Вили Ван Импе (Willi Van Impe)<br/>гр. Аалст, консулски окръг – провинция Източна Фландрия Bredeweg 13, В9320 Nieuwerkerken - Aalst, Belgium; тел./ф.: (0032) (0) 53-83-83-73, (мобилен) (0032) (0) 475-76-31-69; e-mail: w270244@hotmail.com					
0	Александрия, Египет	Почетно консулство					31.1993, 29.920	Мохамед Фуад Саад Абделмагид Атия<br/>гр. Александрия, консулски окръг - област Александрия					
0	Алепо, Сирия	Почетно консулство					33.5153, 36.2938	Махер Тунси (Maher Tounsi)<br/>гр. Алепо, консулски окръг - област Алепо Maher Tounsi Abu Rumaneh Str. Baghal Bldg. (facing Hospitality Presidential Palace ), Damascus Syria (или) Maher Tounsi P.O.Box 33416 – city of Damascus or P.O. Box 16253 – city of Aleppo Damascus Syria тел.: (00963) (11) 334-4548/9, ф.: (00963) (11) 334-4546, (мобилен) (00963) (96)976-976					
0	Анкона, Италия	Почетно консулство					43.61466, 13.52610	Джакомо Бугаро (Dr. Giacomo Bugaro)<br/>гр. Анкона, консулски окръг – област Марке (Marche) Dott. Giacomo Bugaro Consolato Onorario della Repubblica di Bulgaria per la Regione Marche Via Rismondo, 1 - 60123 Ancona тел.: (0039) (071) 358-07-02, ф.: (0039) (071) 358-04-32, e-mail: giacomo@bugaro.it, тел.: (071) 358-07-02, ф.: (071) 358-0432 (към 22.10.2008 г.)					
0	Балтимор, САЩ	Почетно консулство					39.16481, -77.20066	Робърт Тарган (Robert Targan, PhD)<br/>гр. Балтимор, консулски окръг –щат Мериленд Robert S. Targan 9713 Lookout Place Montgomery Village, MD 20886 тел.: (001) (301) 216-9846, ф.: (001) (301)216-2477, e-mail: drtargan@erols.com 					
0	Банкок, Тайланд	Почетно консулство		16			13.7163, 100.5721	Сомбат Лаохапонгчана (Sombat Laohapongchana)<br/>гр. Банкок, консулски окръг – територията на Тайланд Mr.Sombat Laohapongchana 3675 Rama 4 rd. Phrakamong, Klongloey Bangkok 10110, Thailand тел.: (0066) (2) 258-54-95, ф.: (0066) (2) 258-64-63 e-mail: sombat@ktt.co.th					
0	Барселона, Испания	Почетно консулство	132	942			41.39293, 2.14348	Христо Стоичков Стоичков (Hristo Stoitchkov)<br/>гр. Барселона, консулски окръг – автономна област Каталуния и автономна област Арагон; Plaza Francesc Macia 6. 5º- 1ª; 08021 Barcelona; España					
0	Богота, Колумбия	Почетно консулство					4.65167, -74.05449	Карлос Уманя Трухийо (Carlos Umaña Trujillo)<br/>гр. Богота, консулски окръг - територията на Република Колумбия; Sr. Carlos Umaña Trujillo Calle 70 # 4-60 Bogotá D.C., Colombia; тел.: (0057) (1) 540-54-33; вътр. 223-346-201; e-mail: cumana@brigardurrutia.com.co					
0	Бока Ратон, САЩ	Почетно консулство					26.3677, -80.1241	Стивън Байнър (Stephen F. Beiner)<br/>гр. Бока Ратон, консулски окръг –щат Флорида Stephen F. Beiner Suite 110, Bank of America Building 2000 Glades Road, Boca Raton, FL 33431 New York Office: 271 Madison Avenue, 20th Floor, New York, NY 10016 тел.: (001) (212) 370-3744 тел.: (001) (561) 750-1800, ф.: (001) (561) 338-3803; Bank of America Building, 2000 Glades Road, Suite 110, Boca Raton, FL 33431, тел.: (561) 750-1800, ф.: (561) 338-3803, sfbeiner@aol.com (към окт. 2008 г.) 					
0	Бостън, САЩ	Почетно консулство		416	218	127	42.35386, -71.05747	Адам Портной<br/>гр. Бостън (Boston), консулски окръг – щат Масачузетс (the state of Massachusetts) Frank J. Bailey, Sherin and Lodgen LLP, 101 Federal Street, Boston, MA 02110 тел.: (001) (617) 646-2124, ф.: (001) (617) 646-2222, e-mail: fjbailey@sherin.com, тел.: (617) 646-2219, ф.: (617) 646-2222, FJBailey@sherin.com (към окт. 2008 г.)					
